sep=,
"","Reaction Mix","Target","Sample/NTC/Control","Type","Concentration (copies/µL)","CI (95%)","Partitions (valid)","Partitions (positive)","Partitions (negative)","Threshold"
"D8","unc cdh","cdh snp","bd unc04","Sample","1.6","109.1%","8245","4","8241","-"
"D8","unc cdh","cdh wt","bd unc04","Sample","0.803","168.6%","8249","2","8247","-"
"D8","unc cdh","unc snp","bd unc04","Sample","174.7","9.4%","8251","424","7827","-"
"D8","unc cdh","unc wt","bd unc04","Sample","273.0","7.5%","8251","653","7598","-"
"D9","unc cdh","cdh snp","bd unc05","Sample","0.0","-","8209","0","8209","-"
"D9","unc cdh","cdh wt","bd unc05","Sample","0.0","-","8222","0","8222","-"
"D9","unc cdh","unc snp","bd unc05","Sample","0.0","-","8221","0","8221","-"
"D9","unc cdh","unc wt","bd unc05","Sample","1.2","130%","8206","3","8203","-"
"D10","unc cdh","cdh snp","bd unc06","Sample","3.1","73.3%","8255","8","8247","-"
"D10","unc cdh","cdh wt","bd unc06","Sample","2.8","79%","8251","7","8244","-"
"D10","unc cdh","unc snp","bd unc06","Sample","428.5","5.9%","8261","1021","7240","-"
"D10","unc cdh","unc wt","bd unc06","Sample","481.6","5.6%","8258","1138","7120","-"
"D11","unc cdh","cdh snp","bd unc07","Sample","2.0","95.6%","8240","5","8235","-"
"D11","unc cdh","cdh wt","bd unc07","Sample","2.0","95.6%","8242","5","8237","-"
"D11","unc cdh","unc snp","bd unc07","Sample","288.7","7.2%","8242","706","7536","-"
"D11","unc cdh","unc wt","bd unc07","Sample","296.3","7.1%","8243","724","7519","-"
"D12","unc cdh","cdh snp","bd unc08","Sample","1.5","109.1%","8247","4","8243","-"
"D12","unc cdh","cdh wt","bd unc08","Sample","3.4","68.7%","8250","9","8241","-"
"D12","unc cdh","unc snp","bd unc08","Sample","240.8","7.8%","8251","609","7642","-"
"D12","unc cdh","unc wt","bd unc08","Sample","300.6","7%","8249","753","7496","-"
"E1","unc cdh","cdh snp","liv epb01","Sample","0.0","-","8223","0","8223","-"
"E1","unc cdh","cdh wt","liv epb01","Sample","0.0","-","8226","0","8226","-"
"E1","unc cdh","unc snp","liv epb01","Sample","71.6","14.4%","8227","184","8043","-"
"E1","unc cdh","unc wt","liv epb01","Sample","60.6","15.7%","8225","156","8069","-"
"E2","unc cdh","cdh snp","liv epb02","Sample","0.0","-","8235","0","8235","-"
"E2","unc cdh","cdh wt","liv epb02","Sample","0.0","-","8235","0","8235","-"
"E2","unc cdh","unc snp","liv epb02","Sample","35.4","20.7%","8231","90","8141","-"
"E2","unc cdh","unc wt","liv epb02","Sample","51.7","17.1%","8234","131","8103","-"
"E3","unc cdh","cdh snp","liv epb03","Sample","0.0","-","8247","0","8247","-"
"E3","unc cdh","cdh wt","liv epb03","Sample","0.0","-","8250","0","8250","-"
"E3","unc cdh","unc snp","liv epb03","Sample","53.6","16.8%","8250","135","8115","-"
"E3","unc cdh","unc wt","liv epb03","Sample","60.9","15.8%","8243","153","8090","-"
"E4","unc cdh","cdh snp","liv epb04","Sample","0.395","274%","8252","1","8251","-"
"E4","unc cdh","cdh wt","liv epb04","Sample","0.0","-","8253","0","8253","-"
"E4","unc cdh","unc snp","liv epb04","Sample","86.1","13.3%","8253","215","8038","-"
"E4","unc cdh","unc wt","liv epb04","Sample","84.0","13.4%","8252","210","8042","-"
"E5","unc cdh","cdh snp","liv epb05","Sample","0.407","274.4%","8224","1","8223","-"
"E5","unc cdh","cdh wt","liv epb05","Sample","0.0","-","8231","0","8231","-"
"E5","unc cdh","unc snp","liv epb05","Sample","97.3","12.7%","8241","236","8005","-"
"E5","unc cdh","unc wt","liv epb05","Sample","89.0","13.3%","8241","216","8025","-"
"E6","unc cdh","cdh snp","liv epb06","Sample","0.404","274.1%","8237","1","8236","-"
"E6","unc cdh","cdh wt","liv epb06","Sample","0.0","-","8240","0","8240","-"
"E6","unc cdh","unc snp","liv epb06","Sample","73.0","14.6%","8240","179","8061","-"
"E6","unc cdh","unc wt","liv epb06","Sample","68.5","15.1%","8238","168","8070","-"
"E7","unc cdh","cdh snp","liv unc02","Sample","0.0","-","8239","0","8239","-"
"E7","unc cdh","cdh wt","liv unc02","Sample","0.0","-","8240","0","8240","-"
"E7","unc cdh","unc snp","liv unc02","Sample","30.9","22.7%","8238","75","8163","-"
"E7","unc cdh","unc wt","liv unc02","Sample","32.1","22.3%","8233","78","8155","-"
"E8","unc cdh","cdh snp","liv unc03","Sample","0.0","-","8244","0","8244","-"
"E8","unc cdh","cdh wt","liv unc03","Sample","0.0","-","8244","0","8244","-"
"E8","unc cdh","unc snp","liv unc03","Sample","28.2","23.7%","8244","69","8175","-"
"E8","unc cdh","unc wt","liv unc03","Sample","35.6","21%","8225","87","8138","-"
"E9","unc cdh","cdh snp","liv unc04","Sample","0.0","-","8260","0","8260","-"
"E9","unc cdh","cdh wt","liv unc04","Sample","0.0","-","8260","0","8260","-"
"E9","unc cdh","unc snp","liv unc04","Sample","27.7","23.8%","8250","69","8181","-"
"E9","unc cdh","unc wt","liv unc04","Sample","39.4","19.9%","8258","98","8160","-"
"E10","unc cdh","cdh snp","liv unc05","Sample","0.402","274.3%","8236","1","8235","-"
"E10","unc cdh","cdh wt","liv unc05","Sample","0.0","-","8241","0","8241","-"
"E10","unc cdh","unc snp","liv unc05","Sample","43.3","19%","8242","107","8135","-"
"E10","unc cdh","unc wt","liv unc05","Sample","41.3","19.4%","8238","102","8136","-"
"E11","unc cdh","cdh snp","liv unc06","Sample","0.788","168.9%","8248","2","8246","-"
"E11","unc cdh","cdh wt","liv unc06","Sample","0.0","-","8248","0","8248","-"
"E11","unc cdh","unc snp","liv unc06","Sample","59.6","16%","8248","150","8098","-"
"E11","unc cdh","unc wt","liv unc06","Sample","50.5","17.4%","8232","127","8105","-"
"E12","unc cdh","cdh snp","ntc","Sample","0.383","274.2%","8250","1","8249","-"
"E12","unc cdh","cdh wt","ntc","Sample","0.0","-","8250","0","8250","-"
"E12","unc cdh","unc snp","ntc","Sample","0.383","274.2%","8250","1","8249","-"
"E12","unc cdh","unc wt","ntc","Sample","4.6","58.7%","8244","12","8232","-"
"F1","unc cdh","cdh snp","liv epb01","Sample","0.772","168.6%","8227","2","8225","-"
"F1","unc cdh","cdh wt","liv epb01","Sample","0.0","-","8233","0","8233","-"
"F1","unc cdh","unc snp","liv epb01","Sample","69.0","14.7%","8233","177","8056","-"
"F1","unc cdh","unc wt","liv epb01","Sample","77.0","13.9%","8224","197","8027","-"
"F2","unc cdh","cdh snp","liv epb02","Sample","0.0","-","8234","0","8234","-"
"F2","unc cdh","cdh wt","liv epb02","Sample","0.0","-","8234","0","8234","-"
"F2","unc cdh","unc snp","liv epb02","Sample","39.3","19.5%","8234","101","8133","-"
"F2","unc cdh","unc wt","liv epb02","Sample","41.7","19%","8231","107","8124","-"
"F3","unc cdh","cdh snp","liv epb03","Sample","0.0","-","8238","0","8238","-"
"F3","unc cdh","cdh wt","liv epb03","Sample","0.0","-","8248","0","8248","-"
"F3","unc cdh","unc snp","liv epb03","Sample","51.0","17.3%","8247","128","8119","-"
"F3","unc cdh","unc wt","liv epb03","Sample","44.2","18.6%","8243","111","8132","-"
"F4","unc cdh","cdh snp","liv epb04","Sample","0.0","-","8255","0","8255","-"
"F4","unc cdh","cdh wt","liv epb04","Sample","0.0","-","8256","0","8256","-"
"F4","unc cdh","unc snp","liv epb04","Sample","89.4","13.2%","8256","219","8037","-"
"F4","unc cdh","unc wt","liv epb04","Sample","94.3","12.8%","8255","231","8024","-"
"F5","unc cdh","cdh snp","liv epb05","Sample","0.0","-","8263","0","8263","-"
"F5","unc cdh","cdh wt","liv epb05","Sample","0.0","-","8263","0","8263","-"
"F5","unc cdh","unc snp","liv epb05","Sample","68.7","15.1%","8263","167","8096","-"
"F5","unc cdh","unc wt","liv epb05","Sample","87.4","13.4%","8262","212","8050","-"
"F6","unc cdh","cdh snp","liv epb06","Sample","0.0","-","8225","0","8225","-"
"F6","unc cdh","cdh wt","liv epb06","Sample","0.0","-","8226","0","8226","-"
"F6","unc cdh","unc snp","liv epb06","Sample","59.7","16.2%","8226","147","8079","-"
"F6","unc cdh","unc wt","liv epb06","Sample","77.8","14.2%","8220","191","8029","-"
"F7","unc cdh","cdh snp","liv unc02","Sample","0.407","274%","8240","1","8239","-"
"F7","unc cdh","cdh wt","liv unc02","Sample","0.0","-","8240","0","8240","-"
"F7","unc cdh","unc snp","liv unc02","Sample","14.3","33.5%","8240","35","8205","-"
"F7","unc cdh","unc wt","liv unc02","Sample","46.3","18.4%","8236","113","8123","-"
"F8","unc cdh","cdh snp","liv unc03","Sample","0.402","274.2%","8241","1","8240","-"
"F8","unc cdh","cdh wt","liv unc03","Sample","0.0","-","8242","0","8242","-"
"F8","unc cdh","unc snp","liv unc03","Sample","31.5","22.3%","8242","78","8164","-"
"F8","unc cdh","unc wt","liv unc03","Sample","30.7","22.6%","8238","76","8162","-"
"F9","unc cdh","cdh snp","liv unc04","Sample","0.0","-","8239","0","8239","-"
"F9","unc cdh","cdh wt","liv unc04","Sample","0.0","-","8239","0","8239","-"
"F9","unc cdh","unc snp","liv unc04","Sample","24.5","25.2%","8237","61","8176","-"
"F9","unc cdh","unc wt","liv unc04","Sample","27.8","23.7%","8226","69","8157","-"
"F10","unc cdh","cdh snp","liv unc05","Sample","0.397","274.8%","8235","1","8234","-"
"F10","unc cdh","cdh wt","liv unc05","Sample","0.0","-","8235","0","8235","-"
"F10","unc cdh","unc snp","liv unc05","Sample","46.0","18.3%","8235","115","8120","-"
"F10","unc cdh","unc wt","liv unc05","Sample","33.2","21.6%","8219","83","8136","-"
"F11","unc cdh","cdh snp","liv unc06","Sample","1.6","109.3%","8252","4","8248","-"
"F11","unc cdh","cdh wt","liv unc06","Sample","0.395","274.8%","8255","1","8254","-"
"F11","unc cdh","unc snp","liv unc06","Sample","55.4","16.6%","8255","139","8116","-"
"F11","unc cdh","unc wt","liv unc06","Sample","46.2","18.2%","8252","116","8136","-"
"F12","unc cdh","cdh snp","ntc","Sample","0.387","274.4%","8245","1","8244","-"
"F12","unc cdh","cdh wt","ntc","Sample","0.0","-","8245","0","8245","-"
"F12","unc cdh","unc snp","ntc","Sample","0.387","274.4%","8245","1","8244","-"
"F12","unc cdh","unc wt","ntc","Sample","0.0","-","8243","0","8243","-"
"G1","unc cdh","cdh snp","spl epb01","Sample","2.3","86%","8215","6","8209","-"
"G1","unc cdh","cdh wt","spl epb01","Sample","0.0","-","8220","0","8220","-"
"G1","unc cdh","unc snp","spl epb01","Sample","13.4","33.5%","8220","35","8185","-"
"G1","unc cdh","unc wt","spl epb01","Sample","24.2","24.8%","8220","63","8157","-"
"G2","unc cdh","cdh snp","spl epb02","Sample","1.2","130.2%","8220","3","8217","-"
"G2","unc cdh","cdh wt","spl epb02","Sample","0.390","274.8%","8234","1","8233","-"
"G2","unc cdh","unc snp","spl epb02","Sample","7.4","46.1%","8234","19","8215","-"
"G2","unc cdh","unc wt","spl epb02","Sample","20.0","27.7%","8228","51","8177","-"
"G3","unc cdh","cdh snp","spl epb03","Sample","2.4","86%","8238","6","8232","-"
"G3","unc cdh","cdh wt","spl epb03","Sample","0.0","-","8242","0","8242","-"
"G3","unc cdh","unc snp","spl epb03","Sample","8.7","42.6%","8238","22","8216","-"
"G3","unc cdh","unc wt","spl epb03","Sample","17.3","29.8%","8241","44","8197","-"
"G4","unc cdh","cdh snp","spl epb04","Sample","3.9","64.8%","8248","10","8238","-"
"G4","unc cdh","cdh wt","spl epb04","Sample","1.2","129.9%","8252","3","8249","-"
"G4","unc cdh","unc snp","spl epb04","Sample","9.8","39.9%","8252","25","8227","-"
"G4","unc cdh","unc wt","spl epb04","Sample","15.0","32.1%","8237","38","8199","-"
