sep=,
"","Reaction Mix","Target","Sample/NTC/Control","Type","Concentration (copies/µL)","CI (95%)","Partitions (valid)","Partitions (positive)","Partitions (negative)","Threshold"
"D2","slcvsir","vsir snp","tes epb03","Sample","365.2","6.4%","8260","888","7372","-"
"D2","slcvsir","vsir wt","tes epb03","Sample","586.9","5%","8262","1380","6882","-"
"D3","slcvsir","slc snp","tes epb04","Sample","8553.9","1.3%","8270","7676","594","-"
"D3","slcvsir","slc wt","tes epb04","Sample","11565.0","1.1%","8268","8033","235","-"
"D3","slcvsir","vsir snp","tes epb04","Sample","313.1","6.9%","8270","760","7510","-"
"D3","slcvsir","vsir wt","tes epb04","Sample","525.4","5.4%","8269","1235","7034","-"
"D4","slcvsir","slc snp","tes epb05","Sample","4068.7","1.9%","8267","5882","2385","-"
"D4","slcvsir","slc wt","tes epb05","Sample","5030.0","1.7%","8267","6489","1778","-"
"D4","slcvsir","vsir snp","tes epb05","Sample","162.8","9.7%","8266","401","7865","-"
"D4","slcvsir","vsir wt","tes epb05","Sample","246.6","7.8%","8267","600","7667","-"
"D5","slcvsir","slc snp","tes epb06","Sample","3862.0","2%","8259","5721","2538","-"
"D5","slcvsir","slc wt","tes epb06","Sample","4871.8","1.8%","8258","6394","1864","-"
"D5","slcvsir","vsir snp","tes epb06","Sample","144.4","10.3%","8246","356","7890","-"
"D5","slcvsir","vsir wt","tes epb06","Sample","223.9","8.2%","8257","546","7711","-"
"D6","slcvsir","slc snp","tes unc04","Sample","4908.9","1.8%","8264","6409","1855","-"
"D6","slcvsir","slc wt","tes unc04","Sample","6326.0","1.6%","8263","7058","1205","-"
"D6","slcvsir","vsir snp","tes unc04","Sample","174.7","9.4%","8264","428","7836","-"
"D6","slcvsir","vsir wt","tes unc04","Sample","295.6","7.2%","8264","711","7553","-"
"D7","slcvsir","slc snp","tes unc05","Sample","3302.4","2.2%","8253","5185","3068","-"
"D7","slcvsir","slc wt","tes unc05","Sample","4155.0","1.9%","8252","5876","2376","-"
"D7","slcvsir","vsir snp","tes unc05","Sample","161.1","9.8%","8252","389","7863","-"
"D7","slcvsir","vsir wt","tes unc05","Sample","234.5","8.1%","8252","560","7692","-"
"D8","slcvsir","slc snp","tes unc06","Sample","4500.7","1.8%","8261","6139","2122","-"
"D8","slcvsir","slc wt","tes unc06","Sample","5708.7","1.6%","8259","6786","1473","-"
"D8","slcvsir","vsir snp","tes unc06","Sample","196.1","8.9%","8259","475","7784","-"
"D8","slcvsir","vsir wt","tes unc06","Sample","313.0","7%","8261","745","7516","-"
"D9","slcvsir","slc snp","tes unc07","Sample","8012.3","1.4%","8237","7518","719","-"
"D9","slcvsir","slc wt","tes unc07","Sample","10377.4","1.2%","8236","7886","350","-"
"D9","slcvsir","vsir snp","tes unc07","Sample","230.1","8.2%","8237","557","7680","-"
"D9","slcvsir","vsir wt","tes unc07","Sample","459.0","5.8%","8238","1074","7164","-"
"D10","slcvsir","slc snp","tes unc08","Sample","11171.3","1.2%","8259","7994","265","-"
"D10","slcvsir","slc wt","tes unc08","Sample","14027.1","1%","8259","8149","110","-"
"D10","slcvsir","vsir snp","tes unc08","Sample","404.5","6.1%","8259","967","7292","-"
"D10","slcvsir","vsir wt","tes unc08","Sample","673.6","4.7%","8260","1547","6713","-"
"D11","slcvsir","slc snp","tes unc09","Sample","9701.9","1.2%","8255","7848","407","-"
"D11","slcvsir","slc wt","tes unc09","Sample","12834.7","1.1%","8255","8101","154","-"
"D11","slcvsir","vsir snp","tes unc09","Sample","332.9","6.7%","8255","810","7445","-"
"D11","slcvsir","vsir wt","tes unc09","Sample","526.1","5.3%","8255","1243","7012","-"
"D12","slcvsir","slc snp","ntc","Non Template Control","0.0","-","8270","0","8270","-"
"D12","slcvsir","slc wt","ntc","Non Template Control","2.3","86.2%","8270","6","8264","-"
"D12","slcvsir","vsir snp","ntc","Non Template Control","0.0","-","8270","0","8270","-"
"D12","slcvsir","vsir wt","ntc","Non Template Control","0.0","-","8270","0","8270","-"
"E1","unccdh","cdh snp","kid epb01","Sample","4.6","58.7%","8250","12","8238","-"
"E1","unccdh","cdh wt","kid epb01","Sample","0.0","-","8251","0","8251","-"
"E1","unccdh","unc snp","kid epb01","Sample","19.6","27.6%","8251","51","8200","-"
"E1","unccdh","unc wt","kid epb01","Sample","15.4","31.3%","8251","40","8211","-"
"E2","unccdh","cdh snp","kid epb02","Sample","5.6","54.1%","8065","14","8051","-"
"E2","unccdh","cdh wt","kid epb02","Sample","0.0","-","8066","0","8066","-"
"E2","unccdh","unc snp","kid epb02","Sample","30.5","22.6%","8059","76","7983","-"
"E2","unccdh","unc wt","kid epb02","Sample","16.0","31.3%","8058","40","8018","-"
"E3","unccdh","cdh snp","kid epb03","Sample","7.5","46%","8255","19","8236","-"
"E3","unccdh","cdh wt","kid epb03","Sample","0.0","-","8257","0","8257","-"
"E3","unccdh","unc snp","kid epb03","Sample","12.6","35.1%","8255","32","8223","-"
"E3","unccdh","unc wt","kid epb03","Sample","19.3","28.2%","8257","49","8208","-"
"E4","unccdh","cdh snp","kid epb05","Sample","11.9","36.3%","8253","30","8223","-"
"E4","unccdh","cdh wt","kid epb05","Sample","0.395","274%","8254","1","8253","-"
"E4","unccdh","unc snp","kid epb05","Sample","28.3","23.3%","8229","71","8158","-"
"E4","unccdh","unc wt","kid epb05","Sample","20.2","27.6%","8248","51","8197","-"
"E5","unccdh","cdh snp","kid epb06","Sample","3.3","73.3%","8222","8","8214","-"
"E5","unccdh","cdh wt","kid epb06","Sample","0.0","-","8235","0","8235","-"
"E5","unccdh","unc snp","kid epb06","Sample","9.4","41.7%","8244","23","8221","-"
"E5","unccdh","unc wt","kid epb06","Sample","8.1","44.8%","8243","20","8223","-"
"E6","unccdh","cdh snp","kid unc01","Sample","4.0","64.8%","8266","10","8256","-"
"E6","unccdh","cdh wt","kid unc01","Sample","0.0","-","8267","0","8267","-"
"E6","unccdh","unc snp","kid unc01","Sample","18.6","29.1%","8265","46","8219","-"
"E6","unccdh","unc wt","kid unc01","Sample","76.5","14.2%","8265","188","8077","-"
"E7","unccdh","cdh snp","kid unc02","Sample","1.6","109.1%","8243","4","8239","-"
"E7","unccdh","cdh wt","kid unc02","Sample","0.0","-","8243","0","8243","-"
"E7","unccdh","unc snp","kid unc02","Sample","2.0","95.6%","8243","5","8238","-"
"E7","unccdh","unc wt","kid unc02","Sample","7.4","47.4%","8240","18","8222","-"
"E8","unccdh","cdh snp","kid unc03","Sample","1.2","129.8%","8256","3","8253","-"
"E8","unccdh","cdh wt","kid unc03","Sample","0.406","274.1%","8258","1","8257","-"
"E8","unccdh","unc snp","kid unc03","Sample","2.0","95.6%","8258","5","8253","-"
"E8","unccdh","unc wt","kid unc03","Sample","15.5","32.1%","8246","38","8208","-"
"E9","unccdh","cdh snp","kid unc04","Sample","2.0","95.9%","8257","5","8252","-"
"E9","unccdh","cdh wt","kid unc04","Sample","0.399","274.9%","8260","1","8259","-"
"E9","unccdh","unc snp","kid unc04","Sample","5.2","56.4%","8260","13","8247","-"
"E9","unccdh","unc wt","kid unc04","Sample","12.0","36.4%","8258","30","8228","-"
"E10","unccdh","cdh snp","kid unc05","Sample","2.8","78.9%","8255","7","8248","-"
"E10","unccdh","cdh wt","kid unc05","Sample","0.802","168.5%","8262","2","8260","-"
"E10","unccdh","unc snp","kid unc05","Sample","1.2","130%","8262","3","8259","-"
"E10","unccdh","unc wt","kid unc05","Sample","9.6","40.8%","8262","24","8238","-"
"E11","unccdh","cdh snp","kid unc06","Sample","6.7","48.9%","8243","17","8226","-"
"E11","unccdh","cdh wt","kid unc06","Sample","0.0","-","8255","0","8255","-"
"E11","unccdh","unc snp","kid unc06","Sample","8.7","42.7%","8250","22","8228","-"
"E11","unccdh","unc wt","kid unc06","Sample","24.1","25.3%","8240","61","8179","-"
"E12","unccdh","cdh snp","kid unc07","Sample","11.9","35.7%","8252","31","8221","-"
"E12","unccdh","cdh wt","kid unc07","Sample","1.1","129.9%","8258","3","8255","-"
"E12","unccdh","unc snp","kid unc07","Sample","56.0","16.2%","8258","145","8113","-"
"E12","unccdh","unc wt","kid unc07","Sample","115.5","11.3%","8257","296","7961","-"
"F1","unccdh","cdh snp","kid epb01","Sample","1.9","95.7%","8229","5","8224","-"
"F1","unccdh","cdh wt","kid epb01","Sample","0.772","168.6%","8232","2","8230","-"
"F1","unccdh","unc snp","kid epb01","Sample","5.8","52.2%","8232","15","8217","-"
"F1","unccdh","unc wt","kid epb01","Sample","10.8","37.6%","8228","28","8200","-"
"F2","unccdh","cdh snp","kid epb02","Sample","4.3","61.6%","8230","11","8219","-"
"F2","unccdh","cdh wt","kid epb02","Sample","0.387","274.5%","8231","1","8230","-"
"F2","unccdh","unc snp","kid epb02","Sample","7.4","46.1%","8231","19","8212","-"
"F2","unccdh","unc wt","kid epb02","Sample","8.9","41.7%","8229","23","8206","-"
