sep=,
"","Reaction Mix","Target","Sample/NTC/Control","Type","Concentration (copies/µL)","CI (95%)","Partitions (valid)","Partitions (positive)","Partitions (negative)","Threshold"
"F5","slcvsir","slc wt","liv epb06","Sample","193.2","9%","8257","461","7796","-"
"F5","slcvsir","vsir snp","liv epb06","Sample","192.4","9%","8257","459","7798","-"
"F5","slcvsir","vsir wt","liv epb06","Sample","209.7","8.6%","8258","499","7759","-"
"F6","slcvsir","slc snp","liv unc02","Sample","129.9","10.9%","8267","318","7949","-"
"F6","slcvsir","slc wt","liv unc02","Sample","108.3","12%","8267","266","8001","-"
"F6","slcvsir","vsir snp","liv unc02","Sample","145.3","10.3%","8267","355","7912","-"
"F6","slcvsir","vsir wt","liv unc02","Sample","137.8","10.6%","8267","337","7930","-"
"F7","slcvsir","slc snp","liv unc03","Sample","175.3","9.4%","8259","421","7838","-"
"F7","slcvsir","slc wt","liv unc03","Sample","162.9","9.8%","8258","392","7866","-"
"F7","slcvsir","vsir snp","liv unc03","Sample","251.8","7.9%","8259","598","7661","-"
"F7","slcvsir","vsir wt","liv unc03","Sample","257.1","7.8%","8259","610","7649","-"
"F8","slcvsir","slc snp","liv unc04","Sample","138.7","10.5%","8261","339","7922","-"
"F8","slcvsir","slc wt","liv unc04","Sample","147.6","10.2%","8258","360","7898","-"
"F8","slcvsir","vsir snp","liv unc04","Sample","194.8","8.9%","8260","472","7788","-"
"F8","slcvsir","vsir wt","liv unc04","Sample","196.9","8.8%","8261","477","7784","-"
"F9","slcvsir","slc snp","liv unc05","Sample","198.4","8.8%","8272","483","7789","-"
"F9","slcvsir","slc wt","liv unc05","Sample","169.4","9.5%","8272","414","7858","-"
"F9","slcvsir","vsir snp","liv unc05","Sample","234.6","8.1%","8272","568","7704","-"
"F9","slcvsir","vsir wt","liv unc05","Sample","232.5","8.1%","8272","563","7709","-"
"F10","slcvsir","slc snp","liv unc06","Sample","120.5","11.3%","8273","299","7974","-"
"F10","slcvsir","slc wt","liv unc06","Sample","113.1","11.6%","8270","281","7989","-"
"F10","slcvsir","vsir snp","liv unc06","Sample","255.0","7.7%","8273","620","7653","-"
"F10","slcvsir","vsir wt","liv unc06","Sample","225.6","8.2%","8273","551","7722","-"
"F11","slcvsir","slc snp","liv unc07","Sample","153.4","10%","8266","380","7886","-"
"F11","slcvsir","slc wt","liv unc07","Sample","153.9","10%","8265","381","7884","-"
"F11","slcvsir","vsir snp","liv unc07","Sample","114.4","11.5%","8264","285","7979","-"
"F11","slcvsir","vsir wt","liv unc07","Sample","111.1","11.7%","8266","277","7989","-"
"F12","slcvsir","slc snp","liv unc08","Sample","186.0","9%","8095","459","7636","-"
"F12","slcvsir","slc wt","liv unc08","Sample","183.6","9.1%","8094","453","7641","-"
"F12","slcvsir","vsir snp","liv unc08","Sample","157.0","9.8%","8095","389","7706","-"
"F12","slcvsir","vsir wt","liv unc08","Sample","155.7","9.9%","8095","386","7709","-"
"G1","slcvsir","slc snp","spl epb02","Sample","17.6","29.1%","8243","46","8197","-"
"G1","slcvsir","slc wt","spl epb02","Sample","25.3","24.2%","8213","66","8147","-"
"G1","slcvsir","vsir snp","spl epb02","Sample","99.0","12.2%","8246","256","7990","-"
"G1","slcvsir","vsir wt","spl epb02","Sample","99.8","12.1%","8248","258","7990","-"
"G2","slcvsir","slc snp","spl epb03","Sample","12.1","35.8%","8271","31","8240","-"
"G2","slcvsir","slc wt","spl epb03","Sample","14.8","32.2%","8250","38","8212","-"
"G2","slcvsir","vsir snp","spl epb03","Sample","45.8","18.2%","8255","117","8138","-"
"G2","slcvsir","vsir wt","spl epb03","Sample","57.2","16.2%","8272","146","8126","-"
"G3","slcvsir","slc snp","spl epb04","Sample","23.6","25.4%","8260","60","8200","-"
"G3","slcvsir","slc wt","spl epb04","Sample","18.1","29.1%","8245","46","8199","-"
"G3","slcvsir","vsir snp","spl epb04","Sample","92.6","12.8%","8260","233","8027","-"
"G3","slcvsir","vsir wt","spl epb04","Sample","96.2","12.5%","8262","242","8020","-"
"G4","slcvsir","slc snp","spl epb05","Sample","27.5","23.5%","8263","70","8193","-"
