sep=,
"","Reaction Mix","Target","Sample/NTC/Control","Type","Concentration (copies/µL)","CI (95%)","Partitions (valid)","Partitions (positive)","Partitions (negative)","Threshold"
"E3","slccdh","slc snp","hrt epb04","Sample","7.9","44.8%","8277","20","8257","-"
"E3","slccdh","slc wt","hrt epb04","Sample","7.9","44.8%","8267","20","8247","-"
"E4","slccdh","cdh snp","hrt epb05","Sample","23.0","25.9%","8257","58","8199","-"
"E4","slccdh","cdh wt","hrt epb05","Sample","30.1","22.5%","8260","76","8184","-"
"E4","slccdh","slc snp","hrt epb05","Sample","14.2","33%","8260","36","8224","-"
"E4","slccdh","slc wt","hrt epb05","Sample","11.1","37.6%","8256","28","8228","-"
"E5","slccdh","cdh snp","hrt epb06","Sample","19.2","28.8%","8242","47","8195","-"
"E5","slccdh","cdh wt","hrt epb06","Sample","17.9","29.8%","8254","44","8210","-"
"E5","slccdh","slc snp","hrt epb06","Sample","8.5","43.7%","8265","21","8244","-"
"E5","slccdh","slc wt","hrt epb06","Sample","8.9","42.7%","8263","22","8241","-"
"E6","slccdh","cdh snp","hrt unc01","Sample","5.6","54.1%","8252","14","8238","-"
"E6","slccdh","cdh wt","hrt unc01","Sample","8.1","44.8%","8253","20","8233","-"
"E6","slccdh","slc snp","hrt unc01","Sample","0.0","-","8253","0","8253","-"
"E6","slccdh","slc wt","hrt unc01","Sample","2.4","86.1%","8251","6","8245","-"
"E7","slccdh","cdh snp","hrt unc03","Sample","32.1","22.3%","8245","78","8167","-"
"E7","slccdh","cdh wt","hrt unc03","Sample","25.5","25%","8244","62","8182","-"
"E7","slccdh","slc snp","hrt unc03","Sample","7.0","48.8%","8246","17","8229","-"
"E7","slccdh","slc wt","hrt unc03","Sample","5.7","54.1%","8243","14","8229","-"
"E8","slccdh","cdh snp","hrt unc04","Sample","35.5","21%","8245","87","8158","-"
"E8","slccdh","cdh wt","hrt unc04","Sample","41.3","19.5%","8252","101","8151","-"
"E8","slccdh","slc snp","hrt unc04","Sample","8.9","42.6%","8252","22","8230","-"
"E8","slccdh","slc wt","hrt unc04","Sample","8.1","44.8%","8249","20","8229","-"
"E9","slccdh","cdh snp","hrt unc05","Sample","20.9","27.4%","8242","52","8190","-"
"E9","slccdh","cdh wt","hrt unc05","Sample","24.5","25.3%","8241","61","8180","-"
"E9","slccdh","slc snp","hrt unc05","Sample","10.0","40%","8246","25","8221","-"
"E9","slccdh","slc wt","hrt unc05","Sample","11.2","37.7%","8239","28","8211","-"
"E10","slccdh","cdh snp","hrt unc06","Sample","49.3","17.7%","8251","122","8129","-"
"E10","slccdh","cdh wt","hrt unc06","Sample","46.4","18.3%","8256","115","8141","-"
"E10","slccdh","slc snp","hrt unc06","Sample","15.7","31.7%","8254","39","8215","-"
"E10","slccdh","slc wt","hrt unc06","Sample","21.0","27.4%","8244","52","8192","-"
"E11","slccdh","cdh snp","hrt unc08","Sample","88.8","13.1%","8271","223","8048","-"
"E11","slccdh","cdh wt","hrt unc08","Sample","102.1","12.2%","8272","256","8016","-"
"E11","slccdh","slc snp","hrt unc08","Sample","92.4","12.8%","8272","232","8040","-"
"E11","slccdh","slc wt","hrt unc08","Sample","92.5","12.8%","8264","232","8032","-"
"E12","slccdh","cdh snp","hrt unc09","Sample","72.7","14.3%","8230","187","8043","-"
"E12","slccdh","cdh wt","hrt unc09","Sample","81.0","13.5%","8231","208","8023","-"
"E12","slccdh","slc snp","hrt unc09","Sample","67.6","14.8%","8231","174","8057","-"
"E12","slccdh","slc wt","hrt unc09","Sample","77.4","13.8%","8230","199","8031","-"
"F1","slccdh","cdh snp","hrt epb02","Sample","30.5","22.1%","8255","79","8176","-"
"F1","slccdh","cdh wt","hrt epb02","Sample","39.0","19.5%","8264","101","8163","-"
"F1","slccdh","slc snp","hrt epb02","Sample","13.5","33.5%","8262","35","8227","-"
"F1","slccdh","slc wt","hrt epb02","Sample","8.1","43.7%","8249","21","8228","-"
"F2","slccdh","cdh snp","hrt epb03","Sample","25.6","24.3%","8258","66","8192","-"
"F2","slccdh","cdh wt","hrt epb03","Sample","41.1","19.1%","8265","106","8159","-"
"F2","slccdh","slc snp","hrt epb03","Sample","8.5","42.7%","8265","22","8243","-"
"F2","slccdh","slc wt","hrt epb03","Sample","8.1","43.7%","8248","21","8227","-"
"F3","slccdh","cdh snp","hrt epb04","Sample","21.4","26.9%","8250","54","8196","-"
"F3","slccdh","cdh wt","hrt epb04","Sample","28.6","23.2%","8254","72","8182","-"
"F3","slccdh","slc snp","hrt epb04","Sample","7.5","46.1%","8256","19","8237","-"
"F3","slccdh","slc wt","hrt epb04","Sample","12.7","35.1%","8252","32","8220","-"
"F4","slccdh","cdh snp","hrt epb05","Sample","29.9","22.9%","8251","74","8177","-"
"F4","slccdh","cdh wt","hrt epb05","Sample","33.6","21.6%","8256","83","8173","-"
"F4","slccdh","slc snp","hrt epb05","Sample","14.1","33.5%","8258","35","8223","-"
"F4","slccdh","slc wt","hrt epb05","Sample","15.3","32.1%","8257","38","8219","-"
"F5","slccdh","cdh snp","hrt epb06","Sample","18.3","29.5%","8274","45","8229","-"
"F5","slccdh","cdh wt","hrt epb06","Sample","27.8","23.9%","8275","68","8207","-"
"F5","slccdh","slc snp","hrt epb06","Sample","11.8","36.9%","8271","29","8242","-"
"F5","slccdh","slc wt","hrt epb06","Sample","6.5","50.4%","8271","16","8255","-"
"F6","slccdh","cdh snp","hrt unc01","Sample","10.5","39.2%","8248","26","8222","-"
"F6","slccdh","cdh wt","hrt unc01","Sample","11.3","37.7%","8250","28","8222","-"
"F6","slccdh","slc snp","hrt unc01","Sample","2.8","79.1%","8250","7","8243","-"
"F6","slccdh","slc wt","hrt unc01","Sample","2.8","79.1%","8244","7","8237","-"
"F7","slccdh","cdh snp","hrt unc03","Sample","20.8","27.6%","8260","51","8209","-"
"F7","slccdh","cdh wt","hrt unc03","Sample","33.4","21.7%","8260","82","8178","-"
"F7","slccdh","slc snp","hrt unc03","Sample","4.9","58.7%","8264","12","8252","-"
