sep=,
"","Reaction Mix","Target","Sample/NTC/Control","Type","Concentration (copies/µL)","CI (95%)","Partitions (valid)","Partitions (positive)","Partitions (negative)","Threshold"
"C9","uncsgpl","unc snp","cb unc07","Sample","247.8","7.8%","8245","610","7635","-"
"C9","uncsgpl","unc wt","cb unc07","Sample","381.4","6.3%","8245","920","7325","-"
"C9","uncsgpl","vsir snp","cb unc07","Sample","192.5","8.8%","8245","478","7767","-"
"C9","uncsgpl","vsir wt","cb unc07","Sample","255.4","7.7%","8245","628","7617","-"
"C10","uncsgpl","unc snp","cb unc09","Sample","331.5","6.7%","8277","803","7474","-"
"C10","uncsgpl","unc wt","cb unc09","Sample","478.6","5.6%","8277","1134","7143","-"
"C10","uncsgpl","vsir snp","cb unc09","Sample","257.6","7.7%","8277","631","7646","-"
"C10","uncsgpl","vsir wt","cb unc09","Sample","321.1","6.9%","8277","779","7498","-"
"C11","uncsgpl","unc snp","cb unc10","Sample","294.1","7.1%","8258","720","7538","-"
"C11","uncsgpl","unc wt","cb unc10","Sample","488.9","5.5%","8257","1162","7095","-"
"C11","uncsgpl","vsir snp","cb unc10","Sample","257.7","7.6%","8253","634","7619","-"
"C11","uncsgpl","vsir wt","cb unc10","Sample","327.6","6.8%","8258","798","7460","-"
"C12","uncsgpl","unc snp","ntc","Sample","1.9","95.7%","8249","5","8244","-"
"C12","uncsgpl","unc wt","ntc","Sample","2.7","79%","8249","7","8242","-"
"C12","uncsgpl","vsir snp","ntc","Sample","0.0","-","8248","0","8248","-"
"C12","uncsgpl","vsir wt","ntc","Sample","0.0","-","8249","0","8249","-"
"D1","uncsgpl","unc snp","cb epb01","Sample","256.4","7.5%","8258","652","7606","-"
"D1","uncsgpl","unc wt","cb epb01","Sample","378.5","6.2%","8257","944","7313","-"
"D1","uncsgpl","vsir snp","cb epb01","Sample","234.7","7.9%","8258","599","7659","-"
"D1","uncsgpl","vsir wt","cb epb01","Sample","289.3","7.1%","8258","732","7526","-"
"D2","uncsgpl","unc snp","cb epb03","Sample","282.0","7.3%","8267","695","7572","-"
"D2","uncsgpl","unc wt","cb epb03","Sample","451.4","5.8%","8267","1084","7183","-"
"D2","uncsgpl","vsir snp","cb epb03","Sample","232.4","8%","8264","577","7687","-"
"D2","uncsgpl","vsir wt","cb epb03","Sample","291.8","7.2%","8267","718","7549","-"
"D3","uncsgpl","unc snp","cb epb04","Sample","176.8","9.3%","8251","437","7814","-"
"D3","uncsgpl","unc wt","cb epb04","Sample","477.5","5.6%","8251","1128","7123","-"
"D3","uncsgpl","vsir snp","cb epb04","Sample","255.4","7.7%","8251","624","7627","-"
"D3","uncsgpl","vsir wt","cb epb04","Sample","328.6","6.8%","8251","794","7457","-"
"D4","uncsgpl","unc snp","cb epb05","Sample","193.4","8.9%","8262","474","7788","-"
"D4","uncsgpl","unc wt","cb epb05","Sample","432.6","5.9%","8262","1023","7239","-"
"D4","uncsgpl","vsir snp","cb epb05","Sample","223.8","8.2%","8262","546","7716","-"
"D4","uncsgpl","vsir wt","cb epb05","Sample","300.2","7.1%","8262","724","7538","-"
"D5","uncsgpl","unc snp","cb epb06","Sample","391.4","6.2%","8260","931","7329","-"
"D5","uncsgpl","unc wt","cb epb06","Sample","505.0","5.5%","8260","1181","7079","-"
"D5","uncsgpl","vsir snp","cb epb06","Sample","287.9","7.3%","8255","695","7560","-"
"D5","uncsgpl","vsir wt","cb epb06","Sample","387.4","6.3%","8260","922","7338","-"
"D6","uncsgpl","unc snp","cb unc02","Sample","445.8","5.9%","8275","1050","7225","-"
"D6","uncsgpl","unc wt","cb unc02","Sample","633.1","4.9%","8274","1450","6824","-"
"D6","uncsgpl","vsir snp","cb unc02","Sample","320.0","6.9%","8275","768","7507","-"
"D6","uncsgpl","vsir wt","cb unc02","Sample","412.8","6.1%","8275","977","7298","-"
"D7","uncsgpl","unc snp","cb unc04","Sample","377.4","6.4%","8259","883","7376","-"
"D7","uncsgpl","unc wt","cb unc04","Sample","534.4","5.4%","8259","1222","7037","-"
"D7","uncsgpl","vsir snp","cb unc04","Sample","257.4","7.8%","8259","613","7646","-"
"D7","uncsgpl","vsir wt","cb unc04","Sample","347.2","6.7%","8259","816","7443","-"
"D8","uncsgpl","unc snp","cb unc06","Sample","290.5","7.3%","8274","695","7579","-"
"D8","uncsgpl","unc wt","cb unc06","Sample","412.0","6.1%","8274","968","7306","-"
"D8","uncsgpl","vsir snp","cb unc06","Sample","224.8","8.3%","8273","543","7730","-"
"D8","uncsgpl","vsir wt","cb unc06","Sample","279.2","7.4%","8274","669","7605","-"
"D9","uncsgpl","unc snp","cb unc07","Sample","102.6","12.3%","8195","252","7943","-"
"D9","uncsgpl","unc wt","cb unc07","Sample","175.8","9.4%","8195","427","7768","-"
"D9","uncsgpl","vsir snp","cb unc07","Sample","101.4","12.3%","8195","249","7946","-"
"D9","uncsgpl","vsir wt","cb unc07","Sample","119.2","11.4%","8195","292","7903","-"
"D10","uncsgpl","unc snp","cb unc09","Sample","326.9","6.8%","8271","792","7479","-"
"D10","uncsgpl","unc wt","cb unc09","Sample","582.6","5.1%","8271","1358","6913","-"
"D10","uncsgpl","vsir snp","cb unc09","Sample","333.9","6.7%","8270","808","7462","-"
"D10","uncsgpl","vsir wt","cb unc09","Sample","435.2","5.9%","8270","1037","7233","-"
"D11","uncsgpl","unc snp","cb unc10","Sample","289.0","7.2%","8256","708","7548","-"
"D11","uncsgpl","unc wt","cb unc10","Sample","473.6","5.6%","8255","1128","7127","-"
"D11","uncsgpl","vsir snp","cb unc10","Sample","225.6","8.2%","8256","558","7698","-"
"D11","uncsgpl","vsir wt","cb unc10","Sample","300.6","7.1%","8256","735","7521","-"
"D12","uncsgpl","unc snp","ntc","Sample","3.0","73.3%","8249","8","8241","-"
"D12","uncsgpl","unc wt","ntc","Sample","4.2","61.6%","8249","11","8238","-"
"D12","uncsgpl","vsir snp","ntc","Sample","0.0","-","8249","0","8249","-"
"D12","uncsgpl","vsir wt","ntc","Sample","0.0","-","8249","0","8249","-"
"E1","uncsgpl","unc snp","hrt epb02","Sample","3.1","73.3%","8258","8","8250","-"
"E1","uncsgpl","unc wt","hrt epb02","Sample","12.7","34.6%","8257","33","8224","-"
"E1","uncsgpl","vsir snp","hrt epb02","Sample","7.3","46%","8255","19","8236","-"
"E1","uncsgpl","vsir wt","hrt epb02","Sample","10.7","37.6%","8258","28","8230","-"
"E2","uncsgpl","unc snp","hrt epb03","Sample","5.9","52.2%","8239","15","8224","-"
"E2","uncsgpl","unc wt","hrt epb03","Sample","15.7","31.3%","8238","40","8198","-"
"E2","uncsgpl","vsir snp","hrt epb03","Sample","9.8","39.9%","8237","25","8212","-"
"E2","uncsgpl","vsir wt","hrt epb03","Sample","7.4","46.1%","8239","19","8220","-"
"E3","uncsgpl","unc snp","hrt epb04","Sample","2.7","78.9%","8279","7","8272","-"
"E3","uncsgpl","unc wt","hrt epb04","Sample","6.3","50.3%","8279","16","8263","-"
"E3","uncsgpl","vsir snp","hrt epb04","Sample","8.3","43.6%","8278","21","8257","-"
"E3","uncsgpl","vsir wt","hrt epb04","Sample","10.2","39.1%","8279","26","8253","-"
"E4","uncsgpl","unc snp","hrt epb05","Sample","3.6","68.6%","8265","9","8256","-"
"E4","uncsgpl","unc wt","hrt epb05","Sample","6.7","48.8%","8265","17","8248","-"
"E4","uncsgpl","vsir snp","hrt epb05","Sample","9.1","41.6%","8263","23","8240","-"
"E4","uncsgpl","vsir wt","hrt epb05","Sample","12.3","35.7%","8265","31","8234","-"
"E5","uncsgpl","unc snp","hrt epb06","Sample","0.812","168.6%","8254","2","8252","-"
"E5","uncsgpl","unc wt","hrt epb06","Sample","2.8","79%","8254","7","8247","-"
"E5","uncsgpl","vsir snp","hrt epb06","Sample","4.9","58.8%","8226","12","8214","-"
"E5","uncsgpl","vsir wt","hrt epb06","Sample","8.1","44.8%","8254","20","8234","-"
"E6","uncsgpl","unc snp","hrt unc01","Sample","2.2","95.6%","7701","5","7696","-"
"E6","uncsgpl","unc wt","hrt unc01","Sample","10.4","40.7%","7701","24","7677","-"
"E6","uncsgpl","vsir snp","hrt unc01","Sample","8.2","46%","7698","19","7679","-"
"E6","uncsgpl","vsir wt","hrt unc01","Sample","12.1","37.6%","7700","28","7672","-"
"E7","uncsgpl","unc snp","hrt unc03","Sample","1.6","109.1%","8241","4","8237","-"
"E7","uncsgpl","unc wt","hrt unc03","Sample","3.3","73.3%","8240","8","8232","-"
"E7","uncsgpl","vsir snp","hrt unc03","Sample","3.7","68.7%","8239","9","8230","-"
"E7","uncsgpl","vsir wt","hrt unc03","Sample","7.4","47.4%","8241","18","8223","-"
"E8","uncsgpl","unc snp","hrt unc04","Sample","4.5","61.5%","8251","11","8240","-"
"E8","uncsgpl","unc wt","hrt unc04","Sample","7.7","46%","8251","19","8232","-"
"E8","uncsgpl","vsir snp","hrt unc04","Sample","5.3","56.2%","8251","13","8238","-"
"E8","uncsgpl","vsir wt","hrt unc04","Sample","9.8","40.7%","8251","24","8227","-"
"E9","uncsgpl","unc snp","hrt unc05","Sample","2.8","79.1%","8186","7","8179","-"
