sep=,
"","Reaction Mix","Target","Sample/NTC/Control","Type","Concentration (copies/µL)","CI (95%)","Partitions (valid)","Partitions (positive)","Partitions (negative)","Threshold"
"C5","psapsgpl","psap wt","spl epb05","Sample","38.1","22.8%","6389","74","6315","-"
"C5","psapsgpl","sgpl snp","spl epb05","Sample","14.0","33.5%","8186","35","8151","-"
"C5","psapsgpl","sgpl wt","spl epb05","Sample","24.5","25.2%","8179","61","8118","-"
"C6","psapsgpl","psap snp","spl epb06","Sample","8151.6","1.4%","8234","7525","709","-"
"C6","psapsgpl","psap wt","spl epb06","Sample","6827.2","1.5%","8234","7178","1056","-"
"C6","psapsgpl","sgpl snp","spl epb06","Sample","341.1","6.7%","8234","803","7431","-"
"C6","psapsgpl","sgpl wt","spl epb06","Sample","406.6","6.2%","8234","948","7286","-"
"C7","psapsgpl","psap snp","spl unc01","Sample","3371.2","2.2%","8088","5189","2899","-"
"C7","psapsgpl","psap wt","spl unc01","Sample","2453.6","2.5%","8088","4255","3833","-"
"C7","psapsgpl","sgpl snp","spl unc01","Sample","115.3","11.7%","8088","279","7809","-"
"C7","psapsgpl","sgpl wt","spl unc01","Sample","146.2","10.3%","8089","352","7737","-"
"C8","psapsgpl","psap snp","spl unc02","Sample","3699.8","2.1%","7767","5237","2530","-"
"C8","psapsgpl","psap wt","spl unc02","Sample","2767.8","2.4%","7767","4411","3356","-"
"C8","psapsgpl","sgpl snp","spl unc02","Sample","121.1","11.4%","8017","289","7728","-"
"C8","psapsgpl","sgpl wt","spl unc02","Sample","152.0","10.2%","8017","361","7656","-"
"C9","psapsgpl","psap snp","spl unc03","Sample","3892.6","2.4%","5386","3776","1610","-"
"C9","psapsgpl","psap wt","spl unc03","Sample","3301.4","2.7%","5330","3416","1914","-"
"C9","psapsgpl","sgpl snp","spl unc03","Sample","121.9","11.1%","8192","304","7888","-"
"C9","psapsgpl","sgpl wt","spl unc03","Sample","140.7","10.4%","8193","350","7843","-"
"C10","psapsgpl","psap snp","spl unc04","Sample","6247.1","1.7%","6953","5937","1016","-"
"C10","psapsgpl","psap wt","spl unc04","Sample","5067.8","1.8%","7397","5843","1554","-"
"C10","psapsgpl","sgpl snp","spl unc04","Sample","210.9","8.6%","8064","507","7557","-"
"C10","psapsgpl","sgpl wt","spl unc04","Sample","265.1","7.6%","8065","632","7433","-"
"C11","psapsgpl","psap snp","spl unc05","Sample","7640.0","1.4%","8163","7400","763","-"
"C11","psapsgpl","psap wt","spl unc05","Sample","6534.9","1.5%","8163","7088","1075","-"
"C11","psapsgpl","sgpl snp","spl unc05","Sample","312.4","7%","8162","754","7408","-"
"C11","psapsgpl","sgpl wt","spl unc05","Sample","337.7","6.7%","8163","812","7351","-"
"C12","psapsgpl","psap snp","spl unc06","Sample","5488.0","1.9%","6096","5041","1055","-"
"C12","psapsgpl","psap wt","spl unc06","Sample","4352.4","2.1%","6025","4526","1499","-"
"C12","psapsgpl","sgpl snp","spl unc06","Sample","188.7","8.8%","8234","482","7752","-"
"C12","psapsgpl","sgpl wt","spl unc06","Sample","209.4","8.4%","8234","533","7701","-"
"D1","psapsgpl","psap snp","si epb01","Sample","44.2","18.4%","8092","114","7978","-"
"D1","psapsgpl","psap wt","si epb01","Sample","34.1","21%","8080","88","7992","-"
"D1","psapsgpl","sgpl snp","si epb01","Sample","1.9","95.8%","8092","5","8087","-"
"D1","psapsgpl","sgpl wt","si epb01","Sample","2.3","86.2%","8094","6","8088","-"
"D2","psapsgpl","psap snp","si epb02","Sample","149.1","10.1%","8198","372","7826","-"
"D2","psapsgpl","psap wt","si epb02","Sample","119.7","11.2%","8197","300","7897","-"
"D2","psapsgpl","sgpl snp","si epb02","Sample","7.1","47.4%","8197","18","8179","-"
"D2","psapsgpl","sgpl wt","si epb02","Sample","5.1","56.4%","8197","13","8184","-"
"D3","psapsgpl","psap snp","si epb03","Sample","16.9","30.5%","8110","42","8068","-"
"D3","psapsgpl","psap wt","si epb03","Sample","18.6","29.2%","8059","46","8013","-"
"D3","psapsgpl","sgpl snp","si epb03","Sample","1.6","109.1%","8111","4","8107","-"
"D3","psapsgpl","sgpl wt","si epb03","Sample","2.0","95.7%","8111","5","8106","-"
"D4","psapsgpl","psap snp","si epb04","Sample","6.5","50.3%","8107","16","8091","-"
"D4","psapsgpl","psap wt","si epb04","Sample","6.5","50.3%","8109","16","8093","-"
"D4","psapsgpl","sgpl snp","si epb04","Sample","0.807","168.3%","8110","2","8108","-"
"D4","psapsgpl","sgpl wt","si epb04","Sample","0.404","274%","8110","1","8109","-"
"D5","psapsgpl","psap snp","si epb05","Sample","46.1","18.3%","8219","115","8104","-"
"D5","psapsgpl","psap wt","si epb05","Sample","32.0","22%","8212","80","8132","-"
"D5","psapsgpl","sgpl snp","si epb05","Sample","4.0","64.8%","8197","10","8187","-"
"D5","psapsgpl","sgpl wt","si epb05","Sample","2.0","95.5%","8213","5","8208","-"
"D6","psapsgpl","psap snp","si epb06","Sample","26.6","24.3%","8176","66","8110","-"
"D6","psapsgpl","psap wt","si epb06","Sample","26.2","24.4%","8172","65","8107","-"
"D6","psapsgpl","sgpl snp","si epb06","Sample","2.8","79%","8175","7","8168","-"
"D6","psapsgpl","sgpl wt","si epb06","Sample","2.8","79%","8177","7","8170","-"
"D7","psapsgpl","psap snp","si unc01","Sample","23.6","25.9%","8215","58","8157","-"
"D7","psapsgpl","psap wt","si unc01","Sample","18.3","29.5%","8213","45","8168","-"
"D7","psapsgpl","sgpl snp","si unc01","Sample","5.3","56.3%","8215","13","8202","-"
"D7","psapsgpl","sgpl wt","si unc01","Sample","2.8","79%","8217","7","8210","-"
"D8","psapsgpl","psap snp","si unc02","Sample","9.7","40.8%","8217","24","8193","-"
