sep=,
"","Reaction Mix","Target","Sample/NTC/Control","Type","Concentration (copies/µL)","CI (95%)","Partitions (valid)","Partitions (positive)","Partitions (negative)","Threshold"
"G1","psapvsir","psap wt","cb epb01","Sample","359.7","6.4%","8242","892","7350","-"
"G1","psapvsir","vsir snp","cb epb01","Sample","3.8","64.8%","8241","10","8231","-"
"G1","psapvsir","vsir wt","cb epb01","Sample","3.8","64.8%","8242","10","8232","-"
"G2","psapvsir","psap snp","cb epb03","Sample","423.9","5.9%","8272","1023","7249","-"
"G2","psapvsir","psap wt","cb epb03","Sample","374.7","6.3%","8272","911","7361","-"
"G2","psapvsir","vsir snp","cb epb03","Sample","1.2","130.2%","8235","3","8232","-"
"G2","psapvsir","vsir wt","cb epb03","Sample","2.7","79.1%","8272","7","8265","-"
"G3","psapvsir","psap snp","cb epb04","Sample","350.2","6.5%","8258","847","7411","-"
"G3","psapvsir","psap wt","cb epb04","Sample","317.1","6.9%","8258","771","7487","-"
"G3","psapvsir","vsir snp","cb epb04","Sample","2.7","78.9%","8256","7","8249","-"
"G3","psapvsir","vsir wt","cb epb04","Sample","3.5","68.6%","8257","9","8248","-"
"G4","psapvsir","psap snp","cb epb05","Sample","388.4","6.2%","8275","936","7339","-"
"G4","psapvsir","psap wt","cb epb05","Sample","333.4","6.7%","8274","810","7464","-"
"G4","psapvsir","vsir snp","cb epb05","Sample","0.392","274.2%","8264","1","8263","-"
"G4","psapvsir","vsir wt","cb epb05","Sample","2.0","95.6%","8271","5","8266","-"
