sep=,
"","Reaction Mix","Target","Sample/NTC/Control","Type","Concentration (copies/µL)","CI (95%)","Partitions (valid)","Partitions (positive)","Partitions (negative)","Threshold"
"C9","psapsgpl","sgpl snp","bd unc05","Sample","3.1","73.3%","8244","8","8236","-"
"C9","psapsgpl","sgpl wt","bd unc05","Sample","2.7","78.9%","8249","7","8242","-"
"C10","psapsgpl","psap snp","bd unc06","Sample","277.8","7.4%","8235","675","7560","-"
"C10","psapsgpl","psap wt","bd unc06","Sample","237.8","8%","8215","580","7635","-"
"C10","psapsgpl","sgpl snp","bd unc06","Sample","34.9","20.9%","8229","88","8141","-"
"C10","psapsgpl","sgpl wt","bd unc06","Sample","45.7","18.3%","8236","115","8121","-"
"C11","psapsgpl","psap snp","bd unc07","Sample","228.7","8.1%","8251","565","7686","-"
"C11","psapsgpl","psap wt","bd unc07","Sample","184.2","9%","8246","458","7788","-"
"C11","psapsgpl","sgpl snp","bd unc07","Sample","20.0","27.6%","8239","51","8188","-"
"C11","psapsgpl","sgpl wt","bd unc07","Sample","29.0","22.8%","8252","74","8178","-"
"C12","psapsgpl","psap snp","bd unc08","Sample","207.0","8.4%","8248","528","7720","-"
"C12","psapsgpl","psap wt","bd unc08","Sample","168.7","9.3%","8248","433","7815","-"
"C12","psapsgpl","sgpl snp","bd unc08","Sample","17.9","28.8%","8245","47","8198","-"
"C12","psapsgpl","sgpl wt","bd unc08","Sample","24.0","24.8%","8247","63","8184","-"
"D1","psapsgpl","psap snp","bd epb02","Sample","254.7","7.6%","8259","648","7611","-"
"D1","psapsgpl","psap wt","bd epb02","Sample","212.0","8.3%","8259","543","7716","-"
"D1","psapsgpl","sgpl snp","bd epb02","Sample","39.1","19.4%","8257","103","8154","-"
"D1","psapsgpl","sgpl wt","bd epb02","Sample","51.4","16.9%","8259","135","8124","-"
"D2","psapsgpl","psap snp","bd epb03","Sample","199.1","8.7%","8251","496","7755","-"
"D2","psapsgpl","psap wt","bd epb03","Sample","169.8","9.4%","8251","425","7826","-"
"D2","psapsgpl","sgpl snp","bd epb03","Sample","21.5","26.6%","8246","55","8191","-"
"D2","psapsgpl","sgpl wt","bd epb03","Sample","34.4","21%","8249","88","8161","-"
"D3","psapsgpl","psap snp","bd epb04","Sample","224.0","8.2%","8255","550","7705","-"
"D3","psapsgpl","psap wt","bd epb04","Sample","178.3","9.2%","8255","441","7814","-"
"D3","psapsgpl","sgpl snp","bd epb04","Sample","28.5","23.2%","8245","72","8173","-"
"D3","psapsgpl","sgpl wt","bd epb04","Sample","30.9","22.3%","8251","78","8173","-"
"D4","psapsgpl","psap snp","bd epb05","Sample","71.9","14.6%","8243","179","8064","-"
"D4","psapsgpl","psap wt","bd epb05","Sample","65.0","15.3%","8240","162","8078","-"
"D4","psapsgpl","sgpl snp","bd epb05","Sample","8.4","43.6%","8239","21","8218","-"
"D4","psapsgpl","sgpl wt","bd epb05","Sample","9.9","39.9%","8238","25","8213","-"
"D5","psapsgpl","psap snp","bd epb06","Sample","113.2","11.7%","8147","277","7870","-"
"D5","psapsgpl","psap wt","bd epb06","Sample","92.1","13%","8144","226","7918","-"
"D5","psapsgpl","sgpl snp","bd epb06","Sample","6.9","48.8%","8117","17","8100","-"
"D5","psapsgpl","sgpl wt","bd epb06","Sample","8.9","42.6%","8139","22","8117","-"
"D6","psapsgpl","psap snp","bd unc02","Sample","188.2","9%","8265","460","7805","-"
"D6","psapsgpl","psap wt","bd unc02","Sample","155.5","9.9%","8264","382","7882","-"
"D6","psapsgpl","sgpl snp","bd unc02","Sample","23.5","25.7%","8263","59","8204","-"
"D6","psapsgpl","sgpl wt","bd unc02","Sample","32.4","21.9%","8261","81","8180","-"
"D7","psapsgpl","psap snp","bd unc03","Sample","242.7","8%","8256","579","7677","-"
"D7","psapsgpl","psap wt","bd unc03","Sample","194.3","9%","8255","467","7788","-"
"D7","psapsgpl","sgpl snp","bd unc03","Sample","26.0","24.6%","8250","64","8186","-"
"D7","psapsgpl","sgpl wt","bd unc03","Sample","28.0","23.7%","8250","69","8181","-"
"D8","psapsgpl","psap snp","bd unc04","Sample","173.1","9.4%","8267","421","7846","-"
"D8","psapsgpl","psap wt","bd unc04","Sample","147.0","10.2%","8266","359","7907","-"
"D8","psapsgpl","sgpl snp","bd unc04","Sample","20.1","27.9%","8260","50","8210","-"
"D8","psapsgpl","sgpl wt","bd unc04","Sample","24.1","25.5%","8265","60","8205","-"
"D9","psapsgpl","psap snp","bd unc05","Sample","92.3","13%","8158","226","7932","-"
"D9","psapsgpl","psap wt","bd unc05","Sample","82.1","13.8%","8146","201","7945","-"
"D9","psapsgpl","sgpl snp","bd unc05","Sample","3.2","73.3%","8152","8","8144","-"
"D9","psapsgpl","sgpl wt","bd unc05","Sample","4.0","64.8%","8158","10","8148","-"
"D10","psapsgpl","psap snp","bd unc06","Sample","267.2","7.5%","8256","652","7604","-"
"D10","psapsgpl","psap wt","bd unc06","Sample","246.1","7.8%","8250","602","7648","-"
"D10","psapsgpl","sgpl snp","bd unc06","Sample","34.1","21.2%","8241","86","8155","-"
"D10","psapsgpl","sgpl wt","bd unc06","Sample","60.4","15.9%","8257","152","8105","-"
"D11","psapsgpl","psap snp","bd unc07","Sample","208.5","8.5%","8238","516","7722","-"
"D11","psapsgpl","psap wt","bd unc07","Sample","192.1","8.8%","8227","476","7751","-"
"D11","psapsgpl","sgpl snp","bd unc07","Sample","19.7","27.9%","8222","50","8172","-"
"D11","psapsgpl","sgpl wt","bd unc07","Sample","29.9","22.5%","8234","76","8158","-"
"D12","psapsgpl","psap snp","bd unc08","Sample","179.6","9%","8237","458","7779","-"
"D12","psapsgpl","psap wt","bd unc08","Sample","179.3","9%","8235","457","7778","-"
"D12","psapsgpl","sgpl snp","bd unc08","Sample","14.5","32.2%","8232","38","8194","-"
"D12","psapsgpl","sgpl wt","bd unc08","Sample","26.4","23.7%","8237","69","8168","-"
"E1","psapsgpl","psap snp","liv epb02","Sample","3974.9","1.9%","8252","5903","2349","-"
"E1","psapsgpl","psap wt","liv epb02","Sample","3575.7","2%","8249","5585","2664","-"
"E1","psapsgpl","sgpl snp","liv epb02","Sample","374.0","6.3%","8252","920","7332","-"
"E1","psapsgpl","sgpl wt","liv epb02","Sample","337.1","6.6%","8252","834","7418","-"
"E2","psapsgpl","psap snp","liv epb03","Sample","2988.0","2.2%","8250","4985","3265","-"
"E2","psapsgpl","psap wt","liv epb03","Sample","2584.1","2.4%","8248","4548","3700","-"
"E2","psapsgpl","sgpl snp","liv epb03","Sample","293.5","7.2%","8250","718","7532","-"
"E2","psapsgpl","sgpl wt","liv epb03","Sample","282.4","7.3%","8250","692","7558","-"
"E3","psapsgpl","psap snp","liv epb04","Sample","5356.2","1.7%","8271","6681","1590","-"
"E3","psapsgpl","psap wt","liv epb04","Sample","4916.0","1.7%","8272","6451","1821","-"
"E3","psapsgpl","sgpl snp","liv epb04","Sample","706.0","4.6%","8272","1616","6656","-"
"E3","psapsgpl","sgpl wt","liv epb04","Sample","848.7","4.2%","8272","1902","6370","-"
"E4","psapsgpl","psap snp","liv epb05","Sample","4570.6","1.8%","8263","6229","2034","-"
"E4","psapsgpl","psap wt","liv epb05","Sample","4119.2","1.9%","8263","5927","2336","-"
"E4","psapsgpl","sgpl snp","liv epb05","Sample","582.6","5.1%","8262","1352","6910","-"
"E4","psapsgpl","sgpl wt","liv epb05","Sample","656.5","4.8%","8263","1507","6756","-"
"E5","psapsgpl","psap snp","liv epb06","Sample","2453.8","2.6%","7663","3979","3684","-"
"E5","psapsgpl","psap wt","liv epb06","Sample","1961.1","3.1%","6737","2985","3752","-"
"E5","psapsgpl","sgpl snp","liv epb06","Sample","153.0","10.1%","8220","367","7853","-"
"E5","psapsgpl","sgpl wt","liv epb06","Sample","132.3","10.9%","8242","319","7923","-"
"E6","psapsgpl","psap snp","liv unc02","Sample","4052.0","2%","8239","5804","2435","-"
"E6","psapsgpl","psap wt","liv unc02","Sample","2881.5","2.6%","6498","3767","2731","-"
"E6","psapsgpl","sgpl snp","liv unc02","Sample","494.6","5.6%","8239","1139","7100","-"
"E6","psapsgpl","sgpl wt","liv unc02","Sample","448.1","5.9%","8239","1039","7200","-"
"E7","psapsgpl","psap snp","liv unc03","Sample","3134.7","2.2%","8248","4988","3260","-"
"E7","psapsgpl","psap wt","liv unc03","Sample","2571.2","2.5%","8248","4396","3852","-"
"E7","psapsgpl","sgpl snp","liv unc03","Sample","303.1","7.2%","8248","708","7540","-"
"E7","psapsgpl","sgpl wt","liv unc03","Sample","305.3","7.2%","8248","713","7535","-"
"E8","psapsgpl","psap snp","liv unc04","Sample","2757.5","2.4%","8251","4628","3623","-"
"E8","psapsgpl","psap wt","liv unc04","Sample","2288.8","2.6%","8251","4084","4167","-"
"E8","psapsgpl","sgpl snp","liv unc04","Sample","231.1","8.2%","8251","550","7701","-"
"E8","psapsgpl","sgpl wt","liv unc04","Sample","239.4","8.1%","8251","569","7682","-"
"E9","psapsgpl","psap snp","liv unc05","Sample","3180.5","2.2%","8254","5107","3147","-"
"E9","psapsgpl","psap wt","liv unc05","Sample","2696.1","2.4%","8252","4608","3644","-"
"E9","psapsgpl","sgpl snp","liv unc05","Sample","323.0","6.9%","8254","770","7484","-"
"E9","psapsgpl","sgpl wt","liv unc05","Sample","309.4","7.1%","8254","739","7515","-"
"E10","psapsgpl","psap snp","liv unc06","Sample","4275.4","1.9%","8245","5978","2267","-"
"E10","psapsgpl","psap wt","liv unc06","Sample","3462.2","2.1%","8242","5345","2897","-"
"E10","psapsgpl","sgpl snp","liv unc06","Sample","342.1","6.7%","8243","809","7434","-"
"E10","psapsgpl","sgpl wt","liv unc06","Sample","293.8","7.2%","8245","700","7545","-"
"E11","psapsgpl","psap snp","liv unc07","Sample","2907.3","2.3%","8258","4884","3374","-"
"E11","psapsgpl","psap wt","liv unc07","Sample","2575.8","2.4%","8259","4522","3737","-"
"E11","psapsgpl","sgpl snp","liv unc07","Sample","327.0","6.8%","8259","791","7468","-"
"E11","psapsgpl","sgpl wt","liv unc07","Sample","349.7","6.6%","8260","843","7417","-"
"E12","psapsgpl","psap snp","ntc","Non Template Control","0.0","-","8253","0","8253","-"
"E12","psapsgpl","psap wt","ntc","Non Template Control","3.1","73.3%","8251","8","8243","-"
"E12","psapsgpl","sgpl snp","ntc","Non Template Control","0.0","-","8253","0","8253","-"
"E12","psapsgpl","sgpl wt","ntc","Non Template Control","0.0","-","8253","0","8253","-"
"F1","psapsgpl","psap snp","liv epb02","Sample","4642.8","1.8%","8242","6332","1910","-"
"F1","psapsgpl","psap wt","liv epb02","Sample","4341.7","1.8%","8242","6142","2100","-"
"F1","psapsgpl","sgpl snp","liv epb02","Sample","448.7","5.7%","8242","1086","7156","-"
"F1","psapsgpl","sgpl wt","liv epb02","Sample","432.3","5.9%","8242","1049","7193","-"
"F2","psapsgpl","psap snp","liv epb03","Sample","3002.3","2.2%","8267","5044","3223","-"
"F2","psapsgpl","psap wt","liv epb03","Sample","2478.7","2.4%","8266","4468","3798","-"
"F2","psapsgpl","sgpl snp","liv epb03","Sample","304.0","7%","8267","752","7515","-"
"F2","psapsgpl","sgpl wt","liv epb03","Sample","296.8","7.1%","8267","735","7532","-"
"F3","psapsgpl","psap snp","liv epb04","Sample","5148.8","1.7%","8256","6554","1702","-"
"F3","psapsgpl","psap wt","liv epb04","Sample","4414.0","1.9%","8255","6123","2132","-"
"F3","psapsgpl","sgpl snp","liv epb04","Sample","698.6","4.7%","8255","1592","6663","-"
"F3","psapsgpl","sgpl wt","liv epb04","Sample","675.1","4.7%","8256","1544","6712","-"
"F4","psapsgpl","psap snp","liv epb05","Sample","4036.1","2%","8257","5805","2452","-"
"F4","psapsgpl","psap wt","liv epb05","Sample","3420.3","2.1%","8257","5306","2951","-"
"F4","psapsgpl","sgpl snp","liv epb05","Sample","511.6","5.5%","8259","1178","7081","-"
"F4","psapsgpl","sgpl wt","liv epb05","Sample","510.2","5.5%","8259","1175","7084","-"
"F5","psapsgpl","psap snp","liv epb06","Sample","3751.3","2%","8245","5542","2703","-"
"F5","psapsgpl","psap wt","liv epb06","Sample","3163.8","2.5%","6578","4010","2568","-"
